"filename", "language", "CSS", "JavaScript", "SVG", "JSON", "Properties", "comment", "blank", "total"
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\.env", "Properties", 0, 0, 0, 0, 4, 0, 1, 5
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\App.css", "CSS", 153, 0, 0, 0, 0, 5, 33, 191
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\App.js", "JavaScript", 0, 35, 0, 0, 0, 0, 7, 42
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\button.js", "JavaScript", 0, 56, 0, 0, 0, 0, 9, 65
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\ResultPopup.js", "JavaScript", 0, 158, 0, 0, 0, 0, 13, 171
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\checkBoxGrid.js", "JavaScript", 0, 22, 0, 0, 0, 0, 4, 26
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\dataSource.js", "JavaScript", 0, 183, 0, 0, 0, 14, 33, 230
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\filterHeading.js", "JavaScript", 0, 48, 0, 0, 0, 0, 9, 57
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\filters.js", "JavaScript", 0, 258, 0, 0, 0, 4, 46, 308
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\filtersAndLegend.js", "JavaScript", 0, 30, 0, 0, 0, 0, 7, 37
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\inputs\custom_check.js", "JavaScript", 0, 99, 0, 0, 0, 3, 16, 118
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\inputs\filter_button.js", "JavaScript", 0, 72, 0, 0, 0, 0, 13, 85
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\inputs\year_dropdown.js", "JavaScript", 0, 32, 0, 0, 0, 0, 5, 37
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\leader.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 27
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\leading.js", "JavaScript", 0, 92, 0, 0, 0, 0, 19, 111
"e:\coding\data-entry\elections-fork\elections-2024-fork\src\components\data\legend.js", "JavaScript", 0, 150, 0, 0, 0, 0, 31, 181
